0	Capitulum. primum quomodo diuiduntur anime. 	Capitol. i. |en qual manera son de partides les potencies dela anima 	0|1
1|2	et inquibus potenciis habent |esse uirtutes 	e en quels potencies han esser les uirtuts. 	2
3|4	Ostquam auxiliante. |deo conpleuimus prim̃a partem huius pͥ mi libri 	Epus que deus auidant hauem conplida la primam partida daquest primer libre 	3
5	in quo agitur de regimine sui 	en lo quil es tractar del regiment 	4
		desimatex demostrant 	5
6|7	ostendentes inquo reges et principes |suam felicitatem ponere debeant 	en qual cosa los Reys els princeps degen posar la sua benauenturança/. 	6
8|9	quia non decet |eos suum finem ponere in diuiciis 	Quar nos partany dells posar la sua si en 	7
10	nec in ciuili potentia 	riquehes ne enpotencia ciuil ne 	8
11	nec in aliquibus talibus 	en alters coses aytals 	9
12	sed in omnibus hiis 	ans de tots coses aytals 	10
13	ut supra plenius probabatur debent 	segons que damunt era prouat 	11
14	utitanquam organis ad felicitatem 	deuem usar axi con dorguens o de instrumens abenauenturanca/ 	12
15|16	suam autem felicitatem ponere debent |in actu prudencie 	Mas la sua benauenturança deuem posar en fer o en obra deprudencia o desauiea 	13
17	prout talis actus est inperatus a caritate. 	segons que tal fer oral obra es manada per caritat/ 	14
18	Nam tunc reges habent felicitature suo statu debitam et condignam 	Quar lauos los Reys han |benauenturanca deguda e condiergo al lur estament 	15|16
19|20	quando in stigante dei delectatione |secundum prima	quan ells per instigacio dela amor de deusegons sauiea o segons prudenercia regitiua ese gons ley e segons raho 	17
21|22	denciam regnatiuam gentem |sibi commissam scderm legem 	regexem lagent quils ͤ comanada santament e iustament 	18
23	et rationem sancte et iuste regunt principalitergni regum felicitas ponenda est in ipso deo 	Donques principalment la benauenturança dels Reys deu esser posada en deu 	19
24	et ut cognitione et dilectione eius suum studium 	axi que per couexença e per dilectio dell lur estudi 	20
25	et suam uitam ad hoc ordinare debeant 	e lur uida studien ordonar 	21
26	⁊cognoscentes et diligentes deum 	a aço que ells conexent e amant deu axi con au̾rades ministres o auirtades serutdos seus 	22
27	tanquam ueri ministri eius sermordinem rationis dirigant populm sibi commissum. 	segons orde de raho endreç̾en o |regesquenon lo poble quils comanar/ 	23|24
28	Hiis igitur ita peractis et ostenso 	aquestes coses donques axi conplides/ 	25
29|30	in quo reges debeant |ponere suum finem 	E de mo strat en qual cosa los Reys deuen posar la sua si segons 	26
31	secundum ordinem superius praetexatum restat ostendere 	lorde damunt posat en lo. c. iii. 	27
32|33	quibus uirtutibus reges poll̾e debeant |uirtutes autem sunt quidam ornatus 	Roman a demostrar de quals uirtuts los Reys degen resplendir quar les uirtuts son algum ornament 	28
34	et quedam perfectiones anime. 	e algunes perfeccions dela 	29
35|36	oportet igitur prius ostendere |quot sunt poten cie anime 	anima Pͥmerament donques coue a demostrar quantes son les potencies dela anima 	30
37|38	et in quibus potenciis habent |esse uirtutes	e en quals potem cies han parsser les uirtuts/ 	31
39	consequenter autem manifestabitur 	Empero ap̾s sera manifestat 	32
40|41	quomodo uirtutes sunt |dis 	en qual manera les uirtuts deuem esser 	33
42|43	terngende postea uero ostendemus |quot sunt numero huius uirtutes 	departides/ Enapͥs nos demostrarem quantes son per nonbre aquestes 	34
44	et que illarum st principales 	uirtursS quals da quells son principals 	35
45	et que secundarie. 	e quals son secundaries o meỹs principals 	36
46	deinde autem declarabitur singulariter 	E finalment sera declarat 	37
47	que sit una quem illarum uirtutum 	en especial quel sia quescuma daquelles urtuts 	38
48|49	et quomodo decet reges |et principes tales uirtutes habere. 	E enqͣl mana se partaỹ dels Reys e dels princeps hau̾ tals 	39
50	po tencie autem anime sic distingui possunt. 	uirtursLes potencies dela anima poden esser de partides en aquesta 	40
51	quia quedam sunt 	maneraQuar algunes son nanls 	41
52	naturalesᷤ quedam cognitiue sensitiue 	Algunes cognitiues o conexedores sensitiues 	42
53	quedam appetitiue 	Algunons appetitiues o uoluntaries/ 	43
54|55	et quedam intellectiue naturales |potencie sunt ille 	E alters entellectuals les potencies naturals son aquells 	44
56	et inquibus communicamus 	en les quals nos participsa ab les co ses 	45
57	cum uegeta bilibus et plantis 	qui han uida e ab les plantes 	46
58	ut potentia nutritiua augmentatiua generatiua 	axicon es potencia nutritiua crescitiua e generatiua eles alters autals 	47
59	et talia que etiam ipsis ardoribus conpetunt. 	qui aximatex couenen als arbres 	48
60|61	Potentie uero cognitiue sensitiue |sunt uisus gustus tactus 	Mas les potencies conexedor̃s sensitiues son la uista lo gustar ol ta star lo tochar e les altres aytals 	49
62	et talia in quibus communicamus cunbrutis appetitiue ueros distinguntur. 	en los quals nos comunament participsa ab les besties brutals |Mas les potencies appetiues o uolenteroses son departides/ 	50|51
63	Nam quidam appetitus est in homine 	Quar algum appetiment o alguna uoluntat es en homo 	52
64	in quo non communitat cum brutis . 	en lo quel ell no participa ab les besties brutals/ 	53
65	ut appetitus sequens intellectum 	axi con es lappetimnent o la uoluntat que seguer lenteniment 	54
66	quidam uero in quo communicat cum eis 	Mas algum alcre es |en lo qual ell participa 	55|56
67|68	ut appetitus sequens sensum. |appetitus autem sequens sensum potest 	ab ells axi con es lappetiment o lauoluntat 	57
69	nominari sensualitas sequens intellectum 	qui segueyx lo seny |corperal pot esser appellat sensualitat/ 	58|59
70	nominetur uoluntas 	En aquell qui seguex lenteniment sia appellat 	60
71|72	secundum que ⟦sensun⟧ modum loquendi bruta habent sensualitatem |et appetitum sensitiuum 	uoluntatSegons la qual manera de parlar les besties brutals han sensualitat e appetiment sensitiu/ 	61
73	sed non habent uoluntatem . i. appetitum intellectiuum. 	Mas no han uoluntat coes assaber appetiment intellectiu 	62
74|75	uirtutes ergo |de quibus loqui intendimus 	Donques les uirtuts dels quals nos entenem aperlar 	63
76|77	que sunt quidam habitus laudabiles |uelerunt inpotenciis naturalibus 	qui son alguns habits o concebimens dignes delahor o seran en les potencies nals/ 	64
78	uel in ipsis sensibus 	o en les potencies sensitiues/ 	65
79|80	uel in appetitu sensiti |uo uel in appetitu intellectiuo 	o en lappetiment sensitiu o en lappetiment incellectiu o en 	66
81|82	uelin ipso intellectu |uel in hiis omnibus uel in aliquibus horum. 	lentemment o entot̃s aquestes potencies o en algu nes daquestes. 	67
83|84	In poten ciis autem naturalibus |esse non possunt 	En les potencies nals no poden esser la qual cosa 	68
85|86	quod tripliciter patet. |primo quia ex naturalibus 	entres maneres es manifesta primerament per tal 	69
87	nec laudamur nec uituperamur. 	con per les potencies nanls no son lohars ne uituperats quar 	70
88	Nullus enim derr bonus homo 	negum hom no es dit 	71
89|90	ex eo quod habeat bonam digestiuam |uel bonam augmentatiuam. 	bo per co con el ha bona digestio o bona crexença 	72
91	Secundo in talibus non habent esse h uirtutes. 	En apͥs entals potencies no han esser aquestes uirtuts 	73
92	quia uirtus est aliquid 	per tal con uirtut es alguna cosa 	74
93	secundum rationem 	segons raho 	75
94	ut potest probari secundo ethicorum. 	segons que pot esser prouat en lo. ii. libre de les echiques/ 	76
95	po ͤaunt naturales scderm 	E les potencies naturals 	77
96	quod huius sunt rationi non obediunt. 	segons que son naturals no obehexen ala rao 	78
97|98	Nam siue quis ratiocinetur |siue uelit non propter hoc 	Quar sia que algum us de raho o de uoluntat 	79
99	per se loquendo potentiae naturales uariantur 	perlant per si les potencies naturals 	80
100	in actibus suis 	per aco no uariegen en les sues obres/ 	81
101	sed semper scderm modum 	ans costenp̃s segons la manera aelles possible 	82
102	sibi possibilem suas actiones efficiunt 	o segons que elles poden fan les sues obres. 	83
103|104	Tercio in talibus potenciis |non sunt habitus 	Encara entals potencies naturals no son los habits ols concebimens uirtuosos ne les uirtuts/ 	84
105|106	et uirtutes |quia hintus sunt 	Quar los habits ols concebimens son 	85
107	ad determinandum potencias 	per determenar les potencies 	86
108	ut bene uel male agant 	que facem be omal 	87
109	ut per habitus uitiosos 	On perlos habits 	88
110	determinetur potencia ad agnondum male. 	o per los concebimens uiciosos es determenada la potencia/ afer mal/ 	89
111	per uirtuosos ad agendum bene 	E per los habits o per los concebimens uirtuosos afer be 	90
112|113	cum igitur natura sit determinata |ad unum 	donques con natura sia determenada a una cosa 	91
114|115	et potentiae naturales |sufficienter de terminentur 	eles potencies nals sufficientment sien determenades per lur natura a obrar segons elles 	92
116	ad agendum ex natura sua 		
117	secundum eas nec sumus uitio si nec uirtuosi 	nos no som uiciosos ne uirtuosos/ 	93
118	ut hic de uicio et uirtute loquimur 	parlant en aquella manas |que nos perlam açi de uici e deuirtut per ral 	94|95
119|120	quare in eis huius uirtutes |esse non possunt. 	donques en elles no poden esser rals uirtuts per aquestes . iii. rahons 	96
121|122	hiis igitur tribus rationibus |per quas probatum est 	donques per les quals es prouat que les uirtuts no poden esser en les potencies naturals pot esser 	97
123	huius uirtutes non esse 	puat que elles no po den esser 	98
124	in potenciis naturalibus probari potest 		
125|126	eas non esse in cognitione sensitiua |siue inpotenciis sensitiuis. 	enla conexença sensitiua o en les potencies sensitiues/ 	99
127|128	Nam sicut non laudamur |nec uituperamur ex potenciis naturalibus. 	Quar axi con nos no son leats ne uituperats per les potencies naturals 	100
129|130	sic non laudamur |nec uituperamur ex sensibus. 	e axi matex nos no som lohats ne uituperats per los seỹals corpals/ 	101
131|132	Nam sicut nłles lauda tur |tanquam bonus homo 	Quar axi con negum no es lohat otengunt per bon homo 	102
133|134	ex eo qdum bene digerit |uel bene crescit. 	per co con ell fa be digestio o crex be/. 	103
135|136	sic non laudatur |ex eo quod acute uidet sibitiliter audit 	Aximatex no es lohar per co con ell ueuagudament o hou subtilment 	104
		si donques per auentura 	105
137|138	nisi forte hoc esset per accidens uel |si quis ex super flua commestione 	aco no era per accident o accidentalment axi con si algu per massa mangyar 	106
139|140	uel ex nimia potatione |incrisset obtalmiam oculorum 	o per massa beure aconseguia malaltia de obtalumia en los ulls 	107
141|142	ne bene uideret |uel debilitatem stomachi 	per que no uehes be o aconseguia debilitat en 	108
143	ne bene digere ret increparetur 	lescomach per que no fahes be digestio aytal 	109
144	ille non quia male digit 	seria repͥs no |partal con ell fa mal digestio 	110|111
145	uel quia non clare uidet 	o per tal con ell no ueu benclar quar clar 	112
146	et bene digerere per se loquendo 	ueure e fer be digestio 	113
147|148	non estin potestate hominis. |Secundum increparetur 	parsi perlant no es en so poder del hom 	114
149	ex nimio potu 		
150|151	uel ex super fluo cibo. |Nam erat in potestate sua 	Mas ell seria rep̾s de massa beure o demassa mangyar per ço con seria en lo seu poder 	115
152|153	ut posset |uti potu et cibo moderate 	que pogues usar tempradament demangyar o de beure 	116
154	secundo insensibus non est poneda uirtus moralis 	Encama en los seỹs no deu esser posada uirtut moral/ |Quar axi con les potencies naturals no 	117|118
155	quia siter pote 	obehexem a la raho 	119
156|157	ͤ nata᷑les non obediunt rationi. |quia secundum regu lam rationis nullus magis aut minus augetur 	perso con segons laregla dela raho 	120
158	uel magis aut mi nus digerit 	negum no es crescut ne ne mes ne meỹs ne fa digestio mes ne meỹs 	121
159	sic nec sensus obediuntronni. 	Aximateix les seỹs no obeheren ala raho/. 	122
160	Non enim est in potestate hominis uidere clarius uel minus dare 	Quar no es en lo poder del hom |ueure pus clarament o menỹs clarament 	123|124
161	quar si uirtus moralis est aliquid scderm rationem 	per la q̈l cosa si uirtut moral es alguna cosa 	125
162	huius uirtus insensibus poni non debet 	segons rah̾o / tal uirtut no deu esser posada enlos senys/ 	126
163	Tercio in talibus non est moralis uirtus. 	Encara les potencies sensitiues no deuesser posada uirtut moral. 	127
164	quia sicut potentiae naturales sufficienter determinantur 	Quar axi con les potencies u̾als sufficientment son 	128
165	ad actiones suas parsuam naturam sic et sensus. 	detine nades per la sua natura ales sues obres/ |aximateix los seỹs/ 	129|130
166|167	Nam sicut ignis tantum calefacit |quantum potest 	Car axi con lo foch tant escalfa quant escalfar pot 	131
168	calefacere pp̃quod 		
169|170	quia determinatus in actione sua |nec laudatur 	perla qual cosa ell es determenat 	132
171|172	nec uituperatur |nec est in eo uirtus moralis 	enla sua obra ne es lohat ne uituperat ne es en ell uirtut moral 	133
173|174	sic quia potentia digestiua tantum digerit |qntum potest 	Aximatex partal con lapotencia digestiua aytant fa digestio quant digerir pot el ull tant ueu quant pot 	134
175	digere et oculus tantum uidet 		
176	quantum potest 		
177|178	uidere in eis uirtus moralis |esse non potest. 	ueure enelles no pot esser uirtut moral/ 	135
179|180	Nam per uirtutem moralem |determinaturpo ͣ ad agendum. 	Quar per la uirtut moral es determenada la potencia afer a obrar 	136
181|182	hoc autem sufficienter determinatur |ad actiones proprias per naturam. 	mas aquestes suffi cientmnent son determenades ales obres propries per lur natura/. 	137
183	Non igitur m digent 	Donques elles no hau ops uirtut moral 	138
184|185	uirtute morali signi necinpotenciis naturalibus |nec in sensibus est uirtus moralis 	Si donques en les potencies nals ne enles sensitiues no es uirtut moral 	139
186	cum preter poͫ nales et sensus non sit 	con sens les potencies naturals els seỹs corperals no sien 	140
187	nisi intellectus et appetitus intellectiuus et sensitiuus oportet 	si nol entenimentel appetimento la uoluntat intellectual / 	141
188	in talibus est em uirtutes morales	coue en tals potencies |si en les uirtut scilicet morals.	142|143
