0|1	Capitulum. primum quomodo diuiduntur anime. |et inquibus potenciis habent 	Chapter I 	0
2	esse uirtutes 	After that 	1
3	Ostquam auxiliante. 	by help ot God 	2
4	deo conpleuimus prim̃a partem huius pͥ mi libri 	we hauen iended the furste partie |ot this firste Book 	3|4
5	in quo agitur de regimine sui 	in the whiche it is itreted |ot mannis owne gouernaunce, 	5|6
6|7	ostendentes inquo reges et principes |suam felicitatem ponere debeant 	schewynge wherinne kynges and princes schullen sette here felicite. 	7
8	quia non decet 	For it is not semelich 	8
9	eos suum finem ponere in diuiciis 	for hem to sette here 	9
10	nec in ciuili potentia 	ende in riches nother in cyuil myght and strengthe, 	10
11	nec in aliquibus talibus 	nother in no suche thinges, 	11
12	sed in omnibus hiis 	but he schal vse al suche thinges, 	12
13	ut supra plenius probabatur debent 	as it is proued totore atte folle, 	13
14	utitanquam organis ad felicitatem 	as instrumentis and inuen[c]iones 	14
15	suam autem felicitatem ponere debent 	for to come te felicitee. |thei schullen sette here felicite 	15|16
16	in actu prudencie 	in dede ot prudencia, 	17
17	prout talis actus est inperatus a caritate. 	as that dede cometh ot charite. 	18
18	Nam tunc reges habent felicitature suo statu debitam et condignam 	For thanne kynges hauen felicite accordyng to here astate, 	19
19	quando in stigante dei delectatione 	whanne by excityng of [d]eleccioun of God, 	20
20	secundum prima	they rulen hem |that bien vnder hem holilyche and rightefulliche 	21|22
21	denciam regnatiuam gentem 	by prudencia ot regnynge 	23
22	sibi commissam scderm legem 	and by lawe ot resoun. 	24
23	et rationem sancte et iuste regunt principalitergni regum felicitas ponenda est in ipso deo 	thanne the felicite of kynges schal |de principalliche iset in God. 	25|26
24	et ut cognitione et dilectione eius suum studium 	And by knowyng and loue of hym he schal ordeyne|here studie 	27|28
25	et suam uitam ad hoc ordinare debeant 	and here lit therto, |that thei mowe knowe 	29|30
26	⁊cognoscentes et diligentes deum 	and loue God |and rule the poeple 	31|32
		that is under ham 	33
27	tanquam ueri ministri eius sermordinem rationis dirigant populm sibi commissum. 	as verrey Goddes seruauntes |by ordre of resoun. 	34|35
28	Hiis igitur ita peractis et ostenso 	thanne, for this is treted, |and it is schewed 	36|37
29	in quo reges debeant 	where inne kynges schal sette 	38
30	ponere suum finem 	here ende and felicite 	39
31	secundum ordinem superius praetexatum restat ostendere 	by the ordre |that is isette, 	40|41
32	quibus uirtutibus reges poll̾e debeant 	now it is le schewyng |in what verues kynges schal be excellent and vertuous 	42|43
33	uirtutes autem sunt quidam ornatus 	by certeyn heyghtyng 	44
34	et quedam perfectiones anime. 	and perfeccioun of the soule. 	45
35	oportet igitur prius ostendere 	therfore it nedeth firste to schewe 	46
36	quot sunt poten cie anime 	whiche bien the vertual |poten|cie and myghtes ot the soule 	47|48
37	et in quibus potenciis habent 	and in whiche myghtes the vertues 	49
38	esse uirtutes	bien igrounded and ipight. 	50
39	consequenter autem manifestabitur 	And thanne it schal be ischewed 	51
40|41	quomodo uirtutes sunt |dis 	how the vertues bien distingued. 	52
42	terngende postea uero ostendemus 	therafter we schal declare 	53
43	quot sunt numero huius uirtutes 	how many suche vertues ther bien 	54
44	et que illarum st principales 	and whiche therot is principale, 	55
45	et que secundarie. 	and whiche is secundary, 	56
46|47	deinde autem declarabitur singulariter |que sit una quem illarum uirtutum 	and thanne we schal trete singulerlich of eueriche ot these vertues 	57
48	et quomodo decet reges 	and how it semeth kynges and princes 	58
49	et principes tales uirtutes habere. 	to haue suche vertues. 	59
50	po tencie autem anime sic distingui possunt. 	the vertual myghtes|ot the soule mowe be destyngued 	60|61
51	quia quedam sunt 	in these wise: 	62
52	naturalesᷤ quedam cognitiue sensitiue 	For som bien kynde and natural, |and some cognitif and sensitif, 	63|64
53	quedam appetitiue 	and some appetitif, 	65
54	et quedam intellectiue naturales 	and some intellectual. |In natural myghtes 	66|67
55|56	potencie sunt ille |et inquibus communicamus 	ot the soule we communeth 	68
57	cum uegeta bilibus et plantis 	with herbes and treen, 	69
58	ut potentia nutritiua augmentatiua generatiua 	as in vertual myght ot norsching, of wexinge, |and of gendrynge, 	70|71
59	et talia que etiam ipsis ardoribus conpetunt. 	and in suche|as corden to herbes and treen. 	72|73
60	Potentie uero cognitiue sensitiue 	the myghtes of sensitif knowing 	74
61	sunt uisus gustus tactus 	and felyng be the sight, tast, and touche |and the other wittes, 	75|76
62	et talia in quibus communicamus cunbrutis appetitiue ueros distinguntur. 	and therinne we accordeth wip other bestes. |the appetitif is destyngued, 	77|78
63	Nam quidam appetitus est in homine 	for oon appetit is in man 	79
64	in quo non communitat cum brutis . 	and not in other bestes 	80
65	ut appetitus sequens intellectum 	as the appetit that foloweth the intellectual inwit. 	81
66	quidam uero in quo communicat cum eis 	And another maner appetit is in man and in beste, 	82
67	ut appetitus sequens sensum. 	as the appetite that folweth the felyng, 	83
68	appetitus autem sequens sensum potest 	and suche appetite may be cleped sensualitas. 	84
69	nominari sensualitas sequens intellectum 	And the appetit that folweth the intellectual inwit 	85
70	nominetur uoluntas 	is icleped voluntas, 	86
71	secundum que ⟦sensun⟧ modum loquendi bruta habent sensualitatem 	the wille. |And in that manere of speche other bestes 	87|88
72	et appetitum sensitiuum 	hauen the appetite 	89
73	sed non habent uoluntatem . i. appetitum intellectiuum. 	that hatte sensualitas and appetitus sensitiuus, |and haueth not the appetite 	90|91
74	uirtutes ergo 	that hatte voluntas, |the intellectual wille thanne the vertues 	92|93
75	de quibus loqui intendimus 	ot the whiche we thinketh 	94
76	que sunt quidam habitus laudabiles 	to speke bien goode habites, |that is dwellyng places, 	95|96
77	uelerunt inpotenciis naturalibus 	bien in the natural vertual myghtes, 	97
78	uel in ipsis sensibus 	other in the vertual myghtes and wittes ot felyng, 	98
79	uel in appetitu sensiti 	other in the appetite sensitif ot felyng, 	99
80	uo uel in appetitu intellectiuo 	other in | the appetite intellectual, 	100
81	uelin ipso intellectu 	other in the intellecte and inwyt, 	101
82	uel in hiis omnibus uel in aliquibus horum. 	other in al thes, |other in some therof. 	102|103
83	In poten ciis autem naturalibus 	And a mowe not be |in natural vertual mighttes 	104|105
84|85	esse non possunt |quod tripliciter patet. 	and that is declared in thre wise. 	106
86	primo quia ex naturalibus 	[Firste,] for we beth nought preysed 	107
87	nec laudamur nec uituperamur. 	nother iblamed for naturel and kynde vertue, 	108
88	Nullus enim derr bonus homo 	for no man is acounted a good man 	109
89|90	ex eo quod habeat bonam digestiuam |uel bonam augmentatiuam. 	for he hath good degestioun and wexinge. 	110
91	Secundo in talibus non habent esse h uirtutes. 	the seconde, suche vertues beth nought |in the naturel vertual myghtes, 	111|112
92|93	quia uirtus est aliquid |secundum rationem 	for suche vertues stonden by resoun 	113
94	ut potest probari secundo ethicorum. 	as it may be preued, 	114
95	po ͤaunt naturales scderm 	ii Ethicorum, and natural myghtes 	115
96	quod huius sunt rationi non obediunt. 	bien not obedient to resoun |in that thei bien soche. 	116|117
97	Nam siue quis ratiocinetur 	For thei a man make resouns 	118
98	siue uelit non propter hoc 	whether he wil other no, 	119
99|100	per se loquendo potentiae naturales uariantur |in actibus suis 	properliche for to speke the natural potencial vertues varieth not in here kynde worchynge 	120
101	sed semper scderm modum 	but wercheth alwey with al here myght. 	121
102|103	sibi possibilem suas actiones efficiunt |Tercio in talibus potenciis 	the thridde, habites and vertues 	122
104|105	non sunt habitus |et uirtutes 	bien not in natural uertual myghtes, 	123
106	quia hintus sunt 	for	124
107|108	ad determinandum potencias |ut bene uel male agant 	suche habites and vertues inclineth potencial vertues 	125
109|110	ut per habitus uitiosos |determinetur potencia ad agnondum male. 	to do wel other euel, 	126
111|112	per uirtuosos ad agendum bene |cum igitur natura sit determinata 	as a vicious habite inclyneth 	127
113	ad unum 	to do euel, 	128
114	et potentiae naturales 	and as a vertuous habite inclineth to do wel. 	129
115	sufficienter de terminentur 	thanne for kynde is inclyned |and determined to oon, 	130|131
116	ad agendum ex natura sua 	and potencial vertues bien fol inclyned |by kynde to worche by here owne kynde, 	132|133
117	secundum eas nec sumus uitio si nec uirtuosi 	and so therby we beth nother vertuous ne vicious |as we speketh heere 	134|135
118	ut hic de uicio et uirtute loquimur 	of vertueus and of vices; 	136
119|120	quare in eis huius uirtutes |esse non possunt. 	and so therinne may not be suche vertues. 	137
121	hiis igitur tribus rationibus 	And by the same thre resouns 	138
122	per quas probatum est 	by the whiche it is preued 	139
123	huius uirtutes non esse 	that vertuees 	140
124	in potenciis naturalibus probari potest 	bien not in the natural potencial vertues, 	141
125	eas non esse in cognitione sensitiua 	it may be preued that thei bien not in the knowyng 	142
126	siue inpotenciis sensitiuis. 	ot the fif wittes. 	143
127	Nam sicut non laudamur 	For as we ben nought ipreysed nother iblamed 	144
128	nec uituperamur ex potenciis naturalibus. 	for natural potencial vertues, 	145
129|130	sic non laudamur |nec uituperamur ex sensibus. 	so we ben not ipreysed nother iblamed 	146
131	Nam sicut nłles lauda tur 	for the fife wittes; |for as no man is preysed 	147|148
132	tanquam bonus homo 	for a gode man 	149
133|134	ex eo qdum bene digerit |uel bene crescit. 	for he hath a gode digestion and wexyng, 	150
135	sic non laudatur 	so main is [noght], 	151
136	ex eo quod acute uidet sibitiliter audit 	presed for scharp sight |and gode hiryng, 	152|153
137	nisi forte hoc esset per accidens uel 	but if it falleth |by hap other 	154|155
138|139	si quis ex super flua commestione |uel ex nimia potatione 	yf a man is ble|r eyghed and his sight apeired 	156
140|141	incrisset obtalmiam oculorum |ne bene uideret 	for greet etyng and drynkyng, 	157
142|143	uel debilitatem stomachi |ne bene digere ret increparetur 	other ghif he hath euel digestioun or feblenesse of stomachus [for etyng, 	158
144	ille non quia male digit 	aliter] he schold be blamed [for ouer mych drinkyng, 	159
145|146	uel quia non clare uidet |et bene digerere per se loquendo 	aliter] and nought for he hath yuel dygestioun, 	160
147	non estin potestate hominis. 	nother for feble sight [†] - 	161
148	Secundum increparetur 	for scharp sight 	162
149|150	ex nimio potu |uel ex super fluo cibo. 	and good digestioun [is not] 	163
151	Nam erat in potestate sua 	in oure power propurliche for to speke |-but he schulde be blamed 	164|165
152	ut posset 	fore he hath itake 	166
153	uti potu et cibo moderate 	to muche ot mete and of drynke, |for it was in his powere to ete and drynke mesurableliche. 	167|168
154	secundo insensibus non est poneda uirtus moralis 	the secunde, moral vertue |is not in the potencial vertue 	169|170
155	quia siter pote 	ot the fyue wyttes, 	171
156	ͤ nata᷑les non obediunt rationi. 	for as the kynde potencial vertues |beth noght obedient to reson, 	172|173
157	quia secundum regu lam rationis nullus magis aut minus augetur 	for by reule ot resoun |no man hath more digestioun other lasse, 	174|175
158	uel magis aut mi nus digerit 	nother more growyng other lasse: 	176
159	sic nec sensus obediuntronni. 	so the fif wittes |bien not obedient to resoun, 	177|178
160	Non enim est in potestate hominis uidere clarius uel minus dare 	for it is not in manis power |to se other heitlerlich other dymlich; 	179|180
161	quar si uirtus moralis est aliquid scderm rationem 	and 3if moral vertue folweth resoun, 	181
162	huius uirtus insensibus poni non debet 	thanne vertue is not in fife wittes, 	182
163	Tercio in talibus non est moralis uirtus. 	the thridde, |moral vertue is not in the fif wittes; 	183|184
164	quia sicut potentiae naturales sufficienter determinantur 	for as the natural potencial vertues beth fol set |to here worchyng 	185|186
165	ad actiones suas parsuam naturam sic et sensus. 	by here owne kynde, |so bien the wittes also. 	187|188
166	Nam sicut ignis tantum calefacit 	For as the fuyre heteth 	189
167|168	quantum potest |calefacere pp̃quod 	with al his myght, 	190
169	quia determinatus in actione sua 	for it worcheth |by his owne kynde 	191|192
170|171	nec laudatur |nec uituperatur 	and is therfore nother preysed nother iblamed, 	193
172	nec est in eo uirtus moralis 	nother therinne is moral vertue: |so for the potencial vertue 	194|195
173	sic quia potentia digestiua tantum digerit 	ot digestioun maketh |as gret digestioun 	196|197
174	qntum potest 	as he may, 	198
175	digere et oculus tantum uidet 	and the eyge seeth 	199
176	quantum potest 	as moche as he may. 	200
177|178	uidere in eis uirtus moralis |esse non potest. 	therinne may no moral vertue be iset. 	201
179	Nam per uirtutem moralem 	For by natural vertue, 	202
180	determinaturpo ͣ ad agendum. 	potencial vertue is iset awork atte folle 	203
181	hoc autem sufficienter determinatur 	by here owen kynde 	204
182	ad actiones proprias per naturam. 	and nedeth therfore no moral vertue. 	205
183|184	Non igitur m digent |uirtute morali signi necinpotenciis naturalibus 	And so moral vertue is not in natural potencial vertue 	206
185	nec in sensibus est uirtus moralis 	nother in potencial vertues |ot the fife wittes; 	207|208
186	cum preter poͫ nales et sensus non sit 	and other potencial vertues |ben there nought bute the intellectualle -vertu, 	209|210
187	nisi intellectus et appetitus intellectiuus et sensitiuus oportet 	that is the vnderstondyng |and the appetite sensytyue and intellectiue. 	211|212
188	in talibus est em uirtutes morales	thanne in soche potencial vertues |mot be moral vertues.	213|214
