0	el terçero libro delas politicas 	El Filósofo en el III.o de las Políticas 	0
1	departe el philosofo seys linaies de prinçipados 	pone seis linajes o maneras de principados, 	1
2	de los quales tro son buenos 	de los cuales los tres son buenos 	2
3	e los trsson malos. 	e los tres son malos. 	3
4|5	ca el regno e la aristocarçia |que quiere dezer sennorio de buenos 	E éstos son reyno, aristocracia e policía, 	4
6|7	e la poliçia |que quiere dezer pueblo bien 	e estos tres son buenos; 	5
8|9	enssenoreante son bueons prinçipados. |La thirama que quiere dezer sennorio malo 	los otros tres contrarios de éstos son malos, 	6
10|11	e la obligaçia que quiere dezer sennorio duro. |Et la democraçia 	e éstos son tiranía, oligarquía e democracia. 	7
12	que quiere dez maldat del pueblo 	E esto muestra el Filósofo 	8
13	enssennoreante son malos prinçipados. 	dando conoscimiento de los buenos 	9
14|15	Et alli muestra el pho departir el buen prinçipado del malo. |ca si en algun señorio, 	e de los malos 	10
16|17	o prinçipado es entendido el bien comun e el bien de todos los çibdadanos |segunt su estado 	en comparación del bien común, 	11
18|19	assi es sennorio ygual e derech̃. |mas si es entendido 	ca los unos principados entienden siempre en salvar el bien común, 	12
20	y el bien de algunos 	e los malos, 	13
21|22	e la subiectonn, |o aguauia mienpode alguos 	posponiendo el bien común, 	14
23|24	assi es señorio corruyto e malo |e en esta manera segunt derecho 	entienden siempre en el bien propio. 	15
25|26	e tuerto commo pone el pho. |podemos tomar la suficiençia de los prinçipados tan 	E la suficiencia destos principados da el Filósofo en esta manera, 	16
27	biende los malos commo delos luienos 		
28|29	ca en la çibdat |o en alguna gente 	diciendo que en toda la cibdad 	17
30	o 	o 	18
31	enssennorea vno, o pocos, 	sennorea uno, 	19
32	o muchos Si vnio, 	o pocos, o muchos. 	20
33|34	o aquel entiende bien comun |e bien de los subdictos 	Si uno e aquél entiende en el bien común de los súbditos, 	21
35	e estonçe es dicho tal sennorio monarch̃ia, 	aquel sennorío es dicho reyno o monarquía, 	22
36	o e egno ca al Rey parte nesçe de enteder el bien comun. 	ca al rey pertenesce de tener mientes al bien común; 	23
37	Et li aquel vno assi 	e si 	24
38|39	enssennoreante non entiende el bien comun |Mas entiende por poderio çiuil apremiar los otros 	ensennorea11no e aquél no tiene mientes al bien común, 	25
40	e todas las cosas ordena al su bien propio 	mas a lo suyo propio, 	26
41|42	aquel non es Rey |mas es tiranno 	aquél no es rey, mas tirano. 	27
43|44	e assi paresçe que dos principados se le una tan del sennono de vno |prinçipado de derechas 	E así paresce que dos principados se toman en comparación de uno 	28
45	si commo quando por el bien comun en 		
46	llennore a vno este es dicho Rey 		
47	Et otro prinçipado malo 		
48	quando por el bien propreo 		
49	enssennorea vno 		
50|51	e este es dich tiranno. |Enpero contesçe alguas uezes 	e así contescería 	29
52	que alguna çibdat non es gouernada por vn sennor mas es gouernada por algunos pocos 	que mucho fuesen los sennores, 	30
53	assi commo viemos muchs en la çibdat de Roma 	así como contesció en Roma, 	31
54	que quando fallesçie el ssenador en aquel tp̃o en̊ medianero 	que cuando fallescía el governador escogían doce ommes buenos 	32
55|56	ante que otro senador fuesse escogido todo el pueblo romano era gouernado |por algers pocos uarones 	que governasen el pueblo. 	33
57	e de buen testimo mio eran escogidos doze uarones prouados 		
58|59	e buenos los quales llaman |que los doze omes buenos 	Si aquellos pocos que esco¡¡fan 	34
60|61	assi commo agora dizen en françialos doze pares |e por el gouernamiento destos se gouernaua toda la çibdat. 	er3.;1buenos ': 	35
62|63	Onde los malefiçios que se fazian eran departidos |por el departimiento delos prinçipados 	virtuo~os, 	36
64|65	ca dizian que algun malefiçio fuera fechen tron de tal senador. |Mas de otro dizian 	tal principado era dicho 	37
66|67	que le fezierentrro de los buenos omes |Et por ende si se gouernare la çibdat non por vno solo 	ar1stocrac1a, 	38
68|69	mas por alguons pocos estonçe aquellos pocos o son uirtuosos, |o buenos que entienden al bien comun 	que quiere decir sennorío de buenos e virtuosos. 	39
70	e tal prinçipado es dicħa ristrocaçia 	E dende vino aquella 	40
71|72	que quiere dezer prinçipado de buenos omes |e uir̉tuosos e dende vienen 	costUIIlbre que a los buenos governadores de la cibdad 	41
73|74	que los mayores en el pueblo |e los que deuen gouernar el pueblo son dich sobtimates 	llama;ban optimates, 	42
75|76	que quiere dezir muy buenos |ca muy buenos deuen ser 	que quiere decir muy buenos ommes; 	43
77	aquellos 	e si aquellos pocos que escog)an para, 	44
78	que dessean ser mayores que los otros. 	governar no 	45
79|80	Mas si aquellos pocos non son uirtuosos |nin entienden el bien comun 	,eran buenos ni entendían en el bien comun, 	46
81	mas son ricos e apremadores de los otros 	mas querianse facer ricos con el poderío, |apre;lliando lo~ puebl?s, 	47|48
82|83	e entienden a ganançia proprea este prinçiado |tal es dich obligartia 	e~te tal principado es dicho oligarqma, 	49
84	que quiere dezir prançipado de ricos. 	que quiere decir prmcipado de los ricos. 	50
85|86	Et pues que assi es dos prinçipados |se leuna tan del sennorio de pocos vno derecho 	E así paresce que de los pocos sennóres se toman dos principados, 	51
87	assi commo quando enslennorean alguons que son uirtuosos 		
88	e entienden enł bien comun. 		
89|90	Et otro malo assi commo quando enssenore an alguons non |por que son buenos 	uno bueno e otro malo. 	52
91|92	mas |por que son ricos e apmian los otros. 	E si por ventura muchos fueren sennores, 	53
93	Lo tercero se pueden departir los prinçipados 		
94|95	por que enla çibdat enssennorean muchos ca comunal. |mente en las çibdades de italia 	así como en las cibdades de Italia, 	54
96|97	enssennorean muchs |assi commo todo el pueblo 	do todo el pueblo ensennorea, 	55
98|99	ca alli es demandado el consentimiento de todo el pueblo |para los 	ca todo el pueblo face leyes 	56
100	establesçimientos que han de fazer 		
101|102	ca maguera sienpre llamen ally alguna |potespado algun sennor 	e escoge sennor 	57
103	que gouierne la çibdat. 	que lo juzgue 	58
104	Enpero mas enssennore a todo el pueblo 	e ellos han poder de lo poner 	59
105|106	que aquel que es llamado sennor |por que a todo el pueblo ꝑtenesçe de escoger le 	e de lo tirar 	60
107|108	e de castigar le |si mal feziere. 	e de lo castigar 	61
109|110	Et a todo el pueblo |partenesçe de fazer los establesçimientos 	cuando 	62
111|112	los quales establesçimientos non puede passar el sennor |e por ende en tal prinçipado do enssennore an muchs 	fa.ce por qné, 	63
113	assi commo todo el pueblo 	si tal pueblo governador 	64
114|115	o es entendido el bien de los pobres |e delas perssonas medianeras e de los ricos e de todos comunalmente 	entiende en el bien de los mayores 	65
116|117	segunt su estado |estonçe el prinçipado es derech e ygual. 	e de los menores 	66
118|119	Et por que tal prinçipado non ha nonbre propio |llamalle el philosofo nonbre comun 	e de los ricos 	67
120|121	e diz el poliçia |por que poliçia es 	e de los pobres 	68
122|123	assi commo ordenamiento bueno de çibdat |quanto a todos los prinçipados 	e de todos igualmente e derechamente, 	69
124|125	que son en ella |e prinçipalmente quanto al grant prinçipado 	según sus estados, 	70
126|127	que enssennorea a todos los otros |ca la poliçia esta mayormente 	tal sennorío es dicho policía 	71
128	en el ordenamiento del grant prinçipado 		
129	que es en la çibdat 	e toman el 	72
130	Pues que assi es todo ordenamiento de çibdat 	n.01;1brecomún. porque. |no han nombre especia;!, 	73|74
131|132	puede ser dicħ poliçia. |Enpero el prinçipado del pueblo si derecho es 	ca policia tanto quiere decir 	75
133	por que non ha nonbre comun es dich poliçia 	como buen ordenamiento de cibdad 	76
134	e nos podemos llamar atal prinçipado gouernamiento del pueblo si derecho es. 	e extiéndese a todos los buenos governami.entos. 	77
135	Mas si el pueblo assi 	Mas si el pueblo que así 	78
136	enssennoreante non entiende a bien de todos 	ensennorea no entiende en el bien común, 	79
137	segunt su estado 	mas en el propio, 	80
138	mas quiere tirnizar los ricos 	e quiere tiranizar, |abaxando los mayores, 	81|82
139|140	es dich prinçipado de malos |e en nonbre gniego es dicho democraçia 	tal principado de mal pueblo es dicho en griego democracia 	83
141	mas nos podemos le llamar destruymiento e desordenamiento del pueblo. 	e nos podémosle decir en latín |ma:ldad de pueblo. 	84|85
142|143	Et pues que assi es paresçe |quantos son los prinçipados 	E así paresce cuántos son los sennoríos 	86
144	e quales dellos son buenos e quales malos	e cuáles son buenos |e cuáles son malos.	87|88
